short_name,long_name,overall,value_eur,wage_eur,player_positions,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
J. Branger-Engone,Johan Branger-Engone,62,350000,3000,MIDFIELDER,50,61,40,64,46,65,53,44,60,69,70,61,65,48,64,55,67,52,53,52,41,23,66,53,40,58,35,41,24,15,6,14,7,9
M. Bakhit,Masood Bekheet,62,300000,2000,DEFENDER,54,31,52,53,44,54,45,28,46,54,74,73,63,53,79,52,58,78,64,24,67,57,49,48,38,50,58,61,62,15,6,5,13,15
K. Zapolnik,Kamil Zapolnik,62,350000,1000,MIDFIELDER,61,64,65,59,48,64,42,31,46,62,69,66,70,59,71,59,81,68,68,58,62,25,58,56,64,56,24,25,27,13,8,11,10,6
J. Guevara,Julián Guevara,62,300000,1000,MIDFIELDER,45,49,67,65,38,62,32,38,57,65,64,66,58,64,34,57,59,68,86,48,55,55,59,54,35,58,57,59,49,5,6,7,14,8
Z. Koné,Zoumana Koné,62,350000,2000,ATTACKER,32,64,61,47,68,59,54,57,35,62,73,71,62,56,56,55,75,58,68,58,38,18,59,50,65,52,14,17,15,11,10,13,9,7
S. Popovici,Sergiu Popovici,62,300000,2000,DEFENDER,57,37,49,59,25,58,36,28,51,60,77,74,75,53,69,29,71,64,64,25,48,59,55,52,34,58,53,62,63,8,15,11,13,12
P. Petrescu,Petrișor Petrescu,62,350000,2000,MIDFIELDER,57,60,38,59,42,62,38,33,46,63,81,79,75,37,64,53,47,71,37,34,37,18,58,59,49,48,26,31,37,11,9,12,10,8
B. Barbu,Bogdan Barbu,62,350000,1000,MIDFIELDER,56,65,37,63,39,57,40,52,57,60,63,68,58,54,69,61,62,37,53,63,37,25,61,61,43,56,34,31,32,11,12,10,11,15
A. Buziuc,Alexandru Buziuc,62,375000,1000,ATTACKER,26,64,60,48,49,57,39,29,34,62,60,61,59,55,59,65,75,57,71,51,44,18,64,45,66,58,14,10,18,9,7,9,6,11
F. Toplitsch,Florian Toplitsch,62,350000,2000,MIDFIELDER,50,50,45,62,41,63,58,43,55,63,68,66,74,63,72,53,68,56,45,48,46,31,57,60,44,59,27,35,30,6,6,6,8,11
E. Romero,Emanuel Romero,62,350000,2000,MIDFIELDER,54,52,55,71,40,57,45,63,66,65,64,69,63,58,67,67,62,68,69,41,77,54,60,55,49,61,56,56,54,11,14,10,9,11
Odei,Odei Onaindia Zabala,62,290000,2000,DEFENDER,37,26,59,56,37,36,28,31,46,49,62,55,42,57,66,49,69,60,50,24,61,65,25,36,44,45,63,68,67,6,6,10,13,8
A. Wilbraham,Aaron Wilbraham,62,90000,1000,ATTACKER,49,60,75,68,56,40,48,38,41,60,33,40,35,61,60,60,66,32,83,47,83,26,72,58,68,63,24,20,19,12,13,10,10,9
C. Porter,Chris Porter,62,140000,3000,ATTACKER,41,65,65,58,57,52,46,47,52,60,49,49,61,61,66,60,81,69,83,59,46,36,61,51,67,61,40,31,31,14,9,7,15,12
D. Cowie,Don Cowie,62,100000,1000,MIDFIELDER,67,57,36,62,53,59,61,55,63,57,55,59,68,62,66,59,71,80,61,57,64,63,62,62,58,61,33,60,61,11,7,7,8,11
J. Murphy,Joe Murphy,62,30000,1000,GOALKEEPER,11,14,13,33,13,11,18,11,35,33,34,39,38,59,44,45,51,32,55,18,31,15,7,46,16,58,22,18,14,59,62,60,62,60
A. Collin,Adam Collin,62,130000,2000,GOALKEEPER,21,15,23,26,19,14,15,23,37,19,33,29,43,61,48,42,54,27,63,19,33,18,10,44,22,61,20,21,21,63,58,56,61,65
L. Price,Lewis Price,62,130000,2000,GOALKEEPER,13,16,15,25,15,12,15,14,13,21,35,39,54,62,53,43,70,44,73,20,35,15,10,33,26,55,17,18,15,61,61,57,61,60
M. Richards,Marc Richards,62,110000,2000,ATTACKER,42,61,64,56,59,56,56,54,43,59,49,34,48,52,64,71,81,68,80,55,50,22,69,60,65,64,16,20,18,14,12,11,8,12
S. Bywater,Stephen Bywater,62,30000,1000,GOALKEEPER,19,12,11,27,12,14,14,18,20,21,34,38,58,66,48,41,68,28,68,14,35,26,14,18,22,61,18,14,15,59,61,55,68,55
C. Woodman,Craig Alan Woodman,62,60000,2000,DEFENDER,60,34,56,60,51,57,59,58,58,59,61,55,64,61,71,57,78,74,66,50,63,59,55,59,40,62,60,61,59,9,8,9,9,7
L. McCormick,Luke McCormick,62,80000,2000,GOALKEEPER,11,11,14,27,11,18,14,18,32,25,33,42,46,79,50,47,69,28,63,19,25,22,11,52,11,67,18,14,13,58,59,62,62,57
P. Gori,Pier Graziano Gori,62,30000,1000,GOALKEEPER,12,19,14,36,16,16,10,19,28,24,35,35,52,67,31,48,51,41,54,17,44,26,16,43,17,47,11,15,9,56,58,64,67,59
D. Brill,Dean Brill,62,160000,2000,GOALKEEPER,18,14,11,27,19,14,11,12,34,20,29,39,59,63,54,44,68,21,43,12,22,26,16,52,11,46,10,14,14,61,63,58,61,60
M. McNulty,Mark McNulty,62,30000,1000,GOALKEEPER,16,12,12,36,14,12,19,12,23,23,34,34,48,58,42,41,43,31,49,15,37,16,12,35,22,50,10,10,14,62,62,54,61,63
M. McChrystal,Mark McChrystal,62,90000,1000,DEFENDER,41,35,61,52,26,38,32,31,46,45,37,36,39,55,49,45,71,61,82,26,65,59,30,45,34,54,56,62,57,9,9,16,16,14
B. Rotenberg,Boris Rotenberg,62,140000,1000,DEFENDER,60,30,62,54,36,47,27,48,50,49,67,68,60,56,53,58,57,48,75,35,55,65,29,51,40,53,70,62,63,10,13,8,11,9
S. Flinders,Scott Flinders,62,160000,2000,GOALKEEPER,13,16,14,27,14,11,16,11,32,18,39,29,42,60,45,44,65,36,68,16,28,15,11,48,23,54,13,13,15,62,60,58,61,64
C. Stefańczyk,Cezary Stefańczyk,62,90000,1000,DEFENDER,67,33,51,63,41,57,49,61,64,62,66,69,62,61,63,50,81,34,70,54,63,63,44,51,27,56,61,64,61,10,12,10,6,10
C. Mackail-Smith,Craig Mackail-Smith,62,140000,1000,ATTACKER,58,62,58,55,58,59,56,52,48,60,69,69,70,59,72,62,69,66,67,58,64,32,61,57,64,59,34,33,25,15,8,16,16,12
G. MacKenzie,Gary MacKenzie,62,140000,1000,DEFENDER,20,23,63,54,33,28,22,37,44,48,31,34,30,60,36,43,46,59,82,22,73,59,24,35,46,63,60,60,59,14,13,16,14,15
Liu Jian,刘健,62,110000,3000,DEFENDER,59,51,64,57,52,58,63,57,62,55,63,42,63,57,67,66,66,52,75,61,67,57,53,56,46,65,60,61,60,8,16,7,14,14
C. Donaldson,Clayton Donaldson,62,140000,3000,ATTACKER,43,57,61,47,55,58,44,29,42,61,59,59,61,67,52,61,70,67,79,54,74,27,68,58,64,64,19,31,16,14,15,16,10,7
S. Wiseman,Scott Wiseman,62,140000,3000,DEFENDER,57,25,58,55,34,56,48,40,53,54,72,71,66,58,65,54,70,76,71,35,72,58,54,50,41,57,59,60,59,9,8,9,7,7
J. Hoyte,Justin Hoyte,62,110000,2000,DEFENDER,60,24,59,59,29,49,39,26,44,59,65,65,56,66,63,48,67,64,67,25,65,59,39,55,29,57,55,62,62,11,16,12,8,13
M. Tørnes,Michael Tørnes,62,160000,3000,GOALKEEPER,12,13,11,15,17,14,12,13,28,19,51,53,62,55,65,44,72,30,64,12,38,25,15,51,22,56,26,12,14,62,60,58,62,64
M. Rose,Michael Rose,62,100000,2000,MIDFIELDER,66,44,55,58,59,54,70,74,67,62,55,56,66,55,67,65,73,73,71,65,65,54,60,63,66,55,60,60,62,7,15,6,13,13
S. Strømnes,Steinar Ryen Strømnes,62,190000,1000,DEFENDER,44,25,61,56,37,41,38,45,52,51,51,60,55,56,59,60,79,59,73,52,66,60,34,45,39,48,57,59,57,6,16,16,6,14
C. Neal,Chris Neal,62,160000,3000,GOALKEEPER,15,13,11,39,13,15,14,11,41,34,55,58,59,61,54,44,69,30,70,15,39,26,11,35,29,59,15,13,15,61,61,58,62,60
D. Avdić,Denni Robin Avdić,62,290000,1000,ATTACKER,55,57,66,64,58,59,57,53,59,62,36,43,54,63,35,61,79,57,92,60,60,59,63,64,60,61,57,55,53,13,13,8,12,12
J. Byrom,Joel Byrom,62,230000,3000,MIDFIELDER,63,52,49,65,50,54,65,65,63,61,39,35,66,59,61,62,79,67,72,61,54,55,59,66,64,59,40,55,55,12,7,10,9,6
T. Robinson,Theo Robinson,62,290000,2000,ATTACKER,41,62,52,56,56,60,43,35,40,58,78,74,72,56,66,64,64,70,69,57,53,45,62,56,59,60,34,36,30,11,14,13,7,6
B. Graham,Brian Graham,62,270000,2000,ATTACKER,24,62,65,54,56,61,63,64,39,64,63,52,70,49,54,66,70,70,73,51,59,19,61,44,65,60,30,29,30,8,8,7,6,16
A. Stachowiak,Adam Mieczyslaw Stachowiak,62,180000,3000,GOALKEEPER,14,15,15,16,14,14,12,14,17,13,46,41,61,45,52,47,51,38,51,14,35,23,15,38,18,43,29,15,14,62,58,63,59,73
C. Andrew,Calvin Andrew,62,240000,1000,ATTACKER,50,56,68,56,44,48,58,25,50,65,66,72,60,61,69,65,84,81,82,53,77,45,57,58,61,57,48,38,41,15,6,10,10,12
P. Kristensen,Patrick Kristensen,62,190000,3000,DEFENDER,64,52,54,61,49,59,57,53,58,60,66,64,65,62,68,59,68,70,63,51,67,61,59,58,49,61,60,58,59,7,6,11,10,12
M. van Duin,Marco van Duin,62,180000,2000,GOALKEEPER,11,11,11,15,15,11,13,13,13,25,26,35,27,57,53,40,52,38,57,13,16,19,12,35,22,35,8,18,11,59,63,53,63,61
Ha Dae Sung,하대성 河大成,62,150000,2000,MIDFIELDER,57,61,63,65,55,63,62,63,64,63,37,40,61,60,63,64,78,34,62,62,67,63,62,63,65,65,62,59,60,13,12,7,16,11
T. Joza,Tibor Joza,62,190000,1000,DEFENDER,51,27,58,56,38,45,44,35,54,48,65,67,64,58,70,32,73,76,61,39,68,62,36,48,33,60,58,64,61,12,12,7,10,16
E. Nouri,Emin Nouri,62,140000,1000,DEFENDER,59,36,42,56,36,54,45,35,57,59,72,75,69,60,65,60,58,66,67,41,79,56,42,43,54,51,58,60,61,7,7,7,6,13
S. Vincent,Stéphen Vincent,62,240000,1000,MIDFIELDER,58,53,51,63,59,62,48,64,55,56,73,81,64,52,73,64,65,58,49,62,53,31,59,61,60,55,27,46,44,10,13,15,13,10
A. Marciniak,Adam Marciniak,62,240000,1000,DEFENDER,51,48,60,59,22,52,58,50,57,52,71,72,66,58,63,68,70,83,75,54,71,61,40,46,47,46,56,60,59,7,10,13,16,11
A. Danch,Adam Danch,62,230000,1000,DEFENDER,54,50,58,57,31,54,31,28,54,58,57,43,64,60,57,56,84,59,71,33,67,61,54,40,46,56,56,60,60,9,10,6,15,16
Cao Yang,曹阳,62,60000,2000,DEFENDER,57,48,65,62,55,48,57,48,60,60,44,34,36,57,52,58,60,34,65,60,64,60,50,54,63,61,68,60,55,6,7,12,14,6
Yang Shanping,杨善平,62,230000,2000,DEFENDER,44,38,48,50,41,51,29,31,49,54,47,52,54,57,57,33,69,66,73,42,73,60,40,31,26,62,62,60,60,7,8,15,13,15
Yu Ziqian,于子千,62,130000,2000,GOALKEEPER,27,8,7,31,4,8,40,37,31,32,30,26,38,60,63,50,69,44,66,10,37,12,12,36,37,57,17,22,22,61,61,66,60,63
C. Daniel,Colin Daniel,62,220000,2000,DEFENDER,61,54,48,62,55,64,53,54,52,61,76,74,74,52,64,70,78,75,80,54,49,54,54,49,52,47,58,58,56,15,6,11,15,11
M. Simon,Matt Simon,62,190000,1000,ATTACKER,48,58,61,48,36,52,38,29,37,61,68,72,65,60,32,66,83,84,85,58,90,48,63,49,64,56,29,49,39,16,15,11,16,16
P. Malinowski,Piotr Malinowski,62,130000,1000,MIDFIELDER,54,54,40,62,40,61,55,42,61,57,71,77,71,50,72,53,70,71,58,57,33,49,62,67,46,61,34,28,25,9,6,8,11,10
J. Smith,Jimmy Dean Smith,62,230000,2000,MIDFIELDER,60,58,63,65,61,57,56,58,63,62,69,59,72,63,63,68,63,71,72,63,53,48,61,57,54,59,55,58,55,13,14,8,6,7
E. Parish,Elliot Parish,62,220000,1000,GOALKEEPER,12,15,12,25,15,14,12,13,33,16,40,40,39,54,37,46,57,22,52,16,26,14,8,26,13,43,25,12,13,63,62,61,58,64
O. Lancashire,Oliver Lancashire,62,250000,3000,DEFENDER,21,27,64,52,20,22,19,24,57,47,55,39,60,59,51,44,75,76,77,30,56,60,24,40,21,59,59,64,60,12,16,9,15,14
M. Bartley,Marvin Bartley,62,230000,2000,MIDFIELDER,53,45,55,62,52,57,44,31,59,61,52,59,76,64,66,49,68,79,85,41,79,67,54,61,41,59,64,65,62,11,14,10,14,16
J. Dayton,James Dayton,62,290000,3000,MIDFIELDER,55,53,28,57,54,66,68,64,54,61,79,77,88,56,73,59,59,58,51,58,26,20,54,57,53,59,24,35,25,14,11,8,9,14
M. Green,Matt Green,62,240000,2000,ATTACKER,51,61,54,51,56,59,49,51,49,56,78,82,75,57,70,62,58,77,72,57,55,39,62,54,65,56,53,26,31,16,11,16,6,11
I. Bermingham,Ian Bermingham,62,240000,1000,DEFENDER,62,53,58,60,53,56,58,29,55,57,70,68,73,53,61,55,81,85,60,45,75,53,61,57,41,57,57,58,57,11,15,8,16,10
C. Gauseth,Christian Gauseth,62,130000,1000,MIDFIELDER,44,63,61,64,43,56,47,42,60,69,43,40,65,60,45,64,81,66,83,36,86,55,67,58,68,62,23,56,54,7,6,16,9,16
Zhang Chiming,张池明,62,290000,3000,MIDFIELDER,53,56,53,56,58,66,48,49,50,60,75,72,70,60,62,58,63,68,65,60,68,52,62,59,33,60,58,43,42,13,12,13,6,16
Feng Zhuoyi,冯卓毅,62,280000,3000,MIDFIELDER,49,48,54,58,39,63,55,59,52,62,58,67,66,65,64,43,59,76,81,49,69,63,61,65,47,61,59,65,60,11,15,15,15,13
Li Shuai,李帅,62,50000,2000,GOALKEEPER,22,11,5,24,8,6,24,15,33,14,30,34,32,64,55,44,58,44,45,12,25,17,12,47,23,52,13,5,8,62,55,58,62,65
B. Shea,Brek Shea,62,250000,2000,DEFENDER,59,54,66,62,61,63,72,64,64,63,63,68,75,61,57,80,64,68,74,54,68,59,58,57,65,61,61,55,59,16,7,13,12,9
A. Mehmeti,Agon Mehmeti,62,300000,1000,ATTACKER,41,62,61,58,60,53,49,47,39,57,56,62,68,56,62,65,74,68,71,56,56,37,66,60,61,60,22,26,20,12,8,10,11,6
G. Sandomierski,Grzegorz Sandomierski,62,220000,2000,GOALKEEPER,23,12,16,51,12,21,14,35,43,28,45,44,52,60,58,47,60,42,72,13,23,22,13,46,17,57,18,18,13,58,62,63,61,65
A. Rashkaj,Anel Rashkaj,62,290000,1000,MIDFIELDER,48,44,43,61,55,60,68,57,63,64,60,46,72,64,69,54,48,68,60,58,52,52,48,69,57,68,54,44,38,6,7,8,15,7
R. Kujawa,Rafał Kujawa,62,290000,1000,ATTACKER,52,62,64,59,64,56,55,46,47,58,54,52,57,64,57,61,61,59,72,55,56,44,62,56,52,53,29,44,41,12,14,10,14,9
T. Vaiho,Tommi Vaiho,62,200000,1000,GOALKEEPER,16,12,12,18,18,16,19,12,21,16,31,32,33,64,60,47,70,39,72,14,35,21,14,40,17,48,18,14,14,59,54,63,59,68
F. Hart,Florian Hart,62,250000,4000,MIDFIELDER,58,51,49,58,42,61,47,30,49,60,65,73,73,64,75,52,65,70,64,38,71,59,56,48,31,58,52,61,59,15,14,12,10,8
A. Leitch-Smith,Ajay Leitch-Smith,62,300000,2000,ATTACKER,49,61,57,55,51,57,55,24,48,60,73,71,72,60,72,58,83,74,63,56,49,27,67,58,51,61,44,30,26,6,15,13,13,7
L. Young,Lewis Jack Young,62,250000,2000,DEFENDER,63,47,38,55,51,64,47,46,48,60,82,78,83,49,85,54,78,73,32,38,45,58,55,41,49,56,55,57,55,13,16,16,7,7
M. Byrne,Mark Byrne,62,280000,2000,MIDFIELDER,49,45,54,61,48,53,31,49,56,61,76,80,86,67,91,60,91,90,73,52,67,63,58,58,58,57,57,65,57,10,6,14,8,9
M. Varvodić,Miro Varvodić,62,200000,1000,GOALKEEPER,13,15,15,34,14,14,15,14,33,24,55,51,47,61,34,38,73,34,69,12,31,25,16,20,31,18,10,13,13,65,57,51,61,65
M. Solheim,Mats Solheim,62,220000,1000,DEFENDER,61,42,57,58,53,56,54,46,62,58,62,69,61,57,66,56,81,82,69,53,63,56,39,51,43,58,56,59,60,9,7,7,14,11
J. Labadie,Joss Labadie,62,300000,3000,MIDFIELDER,58,44,53,64,48,60,51,54,63,60,65,67,59,58,39,68,47,82,86,57,85,53,53,59,49,58,63,63,51,12,12,7,9,8
A. Al Mazaidi,Ali Ibrahim Al Mazyadi,62,160000,3000,GOALKEEPER,17,18,13,12,17,16,17,15,14,16,39,37,42,53,45,47,26,39,33,12,38,22,12,59,12,33,19,16,14,61,65,63,63,61
Jung San,정산 郑山,62,200000,1000,GOALKEEPER,11,12,11,36,11,14,10,14,32,19,48,40,42,58,52,44,43,30,59,10,36,21,11,28,25,56,15,14,19,65,60,58,60,62
D. Chatto,Dominic Chatto Bashir Jamilu,62,180000,1000,MIDFIELDER,33,44,56,65,48,52,49,55,67,62,52,55,64,62,67,68,72,71,73,61,76,64,38,62,50,72,67,63,56,3,3,3,3,3
O. Malik,Osama Malik,62,270000,2000,MIDFIELDER,50,33,60,61,44,55,36,32,62,57,69,68,67,59,59,39,72,64,72,38,73,61,45,57,46,59,58,60,60,8,13,15,7,9
R. Draper,Ross Draper,62,280000,2000,MIDFIELDER,41,55,63,59,30,56,57,57,60,57,56,54,46,61,48,58,70,83,85,58,75,62,63,63,57,64,59,60,60,13,12,8,14,11
S. Russo,Stefano Russo,62,200000,1000,GOALKEEPER,14,9,11,17,16,13,19,20,15,17,50,49,47,59,54,47,64,30,56,13,21,16,12,34,21,47,18,15,14,62,59,63,62,63
R. Lambe,Reggie Lambe,62,300000,3000,MIDFIELDER,59,53,31,55,55,61,53,53,53,57,81,78,77,58,82,58,61,62,73,55,52,51,62,59,50,51,35,48,40,7,8,7,6,12
C. Montano,Christian Alexis Montaño Castillo,62,325000,3000,MIDFIELDER,60,58,52,58,55,65,62,51,56,61,80,76,91,57,74,64,62,66,59,52,65,56,57,40,55,58,62,60,58,6,11,15,8,8
D. Russo,Danilo Russo,62,190000,1000,GOALKEEPER,18,11,11,23,15,10,12,11,21,25,41,40,47,64,30,47,64,34,60,17,32,18,9,12,22,47,21,11,11,60,61,62,63,60
H. Al Raheb,Hassan Ali Al Raheb,62,140000,5000,ATTACKER,40,60,66,52,55,54,37,45,31,60,61,62,68,60,76,57,81,32,69,55,45,35,71,41,50,64,20,16,23,12,6,9,15,12
J. Parker,Josh  Parker,62,325000,2000,ATTACKER,58,58,62,57,43,59,48,46,49,60,85,86,69,59,71,54,80,70,68,51,44,37,62,58,42,67,25,29,28,10,12,8,8,9
A. Greene,Aaron Greene,62,300000,1000,ATTACKER,52,55,58,61,52,60,57,50,55,62,80,84,70,53,63,63,51,70,73,53,65,32,61,56,58,54,30,36,35,7,11,7,8,16
K. Marsh-Brown,Keanu Marsh-Brown,62,325000,3000,MIDFIELDER,57,59,40,56,50,64,52,57,54,61,77,76,66,53,68,62,45,71,61,58,55,36,57,56,45,58,20,45,48,11,8,11,12,10
M. Cullen,Mark Cullen,62,325000,3000,ATTACKER,49,62,63,49,60,56,48,43,44,59,66,74,72,57,72,58,86,64,61,53,55,39,65,62,58,64,44,31,30,11,12,14,15,12
D. Corcoran,Dinny Corcoran,62,290000,1000,ATTACKER,41,63,65,59,62,56,57,51,45,63,48,49,53,59,52,59,76,66,70,58,60,23,69,59,66,61,24,27,17,6,16,11,10,12
G. Jansson,Gustav Jansson,62,160000,1000,GOALKEEPER,25,14,14,23,14,14,15,18,21,23,32,30,32,54,45,43,42,43,81,15,13,13,15,23,15,56,24,12,15,60,62,57,60,66
Jo Jae Cheol,조재철 宰宰哲,62,180000,1000,MIDFIELDER,55,62,52,62,42,61,64,66,62,67,66,70,67,60,87,67,71,54,60,61,61,61,56,61,66,67,55,54,55,10,10,6,15,14
M. Königs,Marco Königs,62,300000,1000,ATTACKER,34,60,65,51,59,53,52,46,33,60,53,39,45,61,41,72,60,62,90,57,73,20,58,41,60,59,28,28,15,15,6,16,9,16
F. Brown Forbes,Felicio Anando Brown Forbes,62,325000,1000,ATTACKER,63,56,59,56,41,65,47,49,47,67,70,74,57,63,54,60,74,70,85,42,59,55,58,59,56,60,50,58,58,12,16,8,14,8
Ko Kyung Min,고경민 柯京闽,62,240000,1000,MIDFIELDER,57,61,58,58,52,66,50,48,52,64,66,62,82,55,67,64,59,72,60,55,48,43,61,50,55,72,48,55,52,8,12,12,8,11
N. Jüllich,Nicolas Jüllich,62,290000,1000,MIDFIELDER,47,53,46,65,41,61,56,49,61,63,65,65,71,61,70,53,69,69,63,55,48,63,54,57,51,60,46,47,49,16,6,8,10,14
A. Tveter,Alexander Ruud Tveter,62,325000,1000,ATTACKER,62,62,59,63,63,58,44,64,54,63,50,51,54,56,60,78,73,57,78,65,61,37,52,61,55,65,24,30,25,11,15,14,11,10
A. Struna,Andraž Struna,62,0,0,DEFENDER,59,32,54,65,43,58,44,47,62,64,59,57,60,50,67,48,74,75,70,43,66,64,52,54,57,48,55,62,63,11,8,10,16,7
M. Sak,Mehmet Sak,62,250000,4000,DEFENDER,63,56,49,66,42,64,49,57,60,66,66,64,60,61,63,68,71,51,62,64,72,65,53,60,43,62,58,59,58,12,10,8,6,7
A. Berardi,Alessandro Berardi,62,220000,2000,GOALKEEPER,14,10,11,29,19,11,16,15,32,21,50,51,35,60,45,42,62,45,55,19,23,21,12,55,22,53,11,19,17,61,58,56,63,64
C. Harold,Chris Harold,62,325000,2000,MIDFIELDER,51,63,56,52,66,61,49,34,50,60,86,86,89,45,73,63,70,64,61,52,59,35,66,61,59,55,30,36,28,13,13,14,14,12
A. Horwath,Alex Horwath,62,180000,1000,GOALKEEPER,17,13,18,32,9,17,10,14,33,19,48,53,27,54,35,45,63,41,68,15,32,22,13,37,17,42,12,17,9,63,57,60,64,62
V. Genev,Viktor Genev,62,0,0,DEFENDER,28,15,61,51,25,47,22,24,44,59,63,62,47,49,58,36,71,54,73,17,46,62,27,30,37,43,62,64,62,8,13,12,7,12
N. Gotfredsen,Nicholas Gotfredsen,62,240000,2000,DEFENDER,57,59,64,62,37,52,34,40,60,58,69,77,64,56,62,66,75,64,71,55,63,61,58,58,34,55,58,60,58,12,14,12,12,6
Jeon Hyeon Chul,전현철 Hyeon Chul Jeon,62,300000,2000,MIDFIELDER,57,61,55,62,59,59,46,44,54,58,70,77,67,57,77,63,59,55,51,61,33,32,62,62,63,57,45,18,16,15,14,16,9,13
I. Filip,Ioan Filip,62,250000,2000,MIDFIELDER,41,33,56,64,29,48,36,37,52,54,41,57,55,60,56,48,63,63,66,35,61,62,38,57,45,44,65,64,63,6,6,16,7,15
F. Torsteinbø,Fredrik Torsteinbø,62,300000,1000,ATTACKER,58,58,44,63,55,63,67,57,53,64,71,57,77,54,68,63,70,75,59,54,62,42,61,63,49,68,44,42,48,9,15,6,8,13
H. Al Shuwaysh,Hussain Al Shuwaysh,62,250000,4000,DEFENDER,48,18,60,55,28,47,30,28,42,53,40,37,58,55,50,34,79,73,85,24,64,56,28,34,33,50,58,60,55,13,7,11,14,6
R. Willmott,Robbie Willmott,62,300000,3000,MIDFIELDER,61,51,41,56,47,62,58,57,45,60,83,81,83,56,75,68,34,77,59,57,55,57,49,57,45,53,53,54,53,8,6,7,13,13
N. Pond,Nathan Lewis Pond,62,110000,3000,DEFENDER,36,30,64,49,25,37,33,29,50,42,31,29,29,60,47,45,44,63,82,26,70,59,25,38,38,56,61,62,61,14,8,8,14,10
G. Warren,Gary Warren,62,110000,2000,DEFENDER,31,38,63,51,31,40,33,30,45,44,52,38,49,57,55,42,72,69,75,35,73,58,25,37,39,56,60,61,60,15,7,15,11,12
W. Suwayyid,Wesam Saleh Suwayyid,62,220000,2000,DEFENDER,61,46,43,61,41,55,51,43,59,58,73,72,73,61,66,61,76,79,70,44,72,59,52,59,50,62,55,56,58,9,11,8,16,7
S. Ramizi,Samir Ramizi,62,325000,2000,MIDFIELDER,55,66,60,60,46,62,43,37,58,63,66,70,63,55,66,59,68,64,60,56,45,20,56,56,61,57,26,25,20,14,14,11,9,15
M. Kühne,Matthias Kühne,62,220000,1000,DEFENDER,55,28,51,57,21,54,35,29,53,61,62,65,70,58,70,48,77,66,65,31,64,60,43,42,36,61,65,64,64,15,7,11,11,12
M. Willsch,Marius Willsch,62,300000,1000,ATTACKER,63,47,44,61,46,55,49,34,49,60,78,78,67,61,68,62,55,87,60,38,64,57,57,51,52,46,59,51,39,11,8,7,13,15
P. Farman,Paul Farman,62,220000,2000,GOALKEEPER,13,19,20,30,18,8,9,7,21,18,43,42,30,62,60,47,57,37,58,9,22,17,15,50,26,43,16,18,13,63,58,63,59,64
Kim Do Hyung,김도형 金道亨,62,300000,2000,MIDFIELDER,58,63,47,52,45,63,39,33,43,64,81,78,71,55,68,58,71,65,61,54,30,11,63,47,59,42,26,12,14,15,14,9,15,14
F. Sepúlveda,Francisco Javier Sepulveda Riveros,62,270000,1000,DEFENDER,64,22,56,62,25,54,25,26,62,62,68,70,63,48,52,47,72,55,63,29,53,58,43,34,32,55,57,64,65,13,15,9,14,11
N. Salazar,Norbey Salazar Giraldo,62,230000,1000,MIDFIELDER,54,29,71,63,33,51,39,34,60,54,32,32,29,59,28,70,33,50,92,32,77,64,67,61,38,61,60,58,54,15,13,13,13,7
J. Gutiérrez,Juan Rodrigo Gutiérrez Arenas,62,290000,1000,MIDFIELDER,53,31,22,64,40,64,31,53,60,66,70,70,83,53,93,54,67,76,30,56,28,56,62,58,38,43,35,58,56,10,8,9,16,10
M. Sandoval,Mario Sandoval,62,300000,1000,MIDFIELDER,61,39,42,66,37,60,52,55,62,70,74,72,70,61,60,61,54,72,53,45,61,45,54,61,49,49,56,52,39,7,13,11,11,15
J. García,Jhon Stiwar García Mena,62,300000,1000,MIDFIELDER,46,64,59,51,58,66,39,26,45,65,75,85,78,65,78,65,86,64,56,53,57,12,59,44,55,46,17,21,20,13,9,12,14,12
D. Rosende,Diego Rosende Lagos,62,180000,1000,MIDFIELDER,52,38,53,67,38,51,44,38,70,67,54,30,64,57,74,57,74,51,56,61,69,68,48,55,47,58,66,64,52,14,11,9,13,14
N. Correa,Nicolás Correa,62,90000,2000,DEFENDER,28,22,67,37,27,29,33,33,24,35,54,49,36,47,57,43,69,63,76,25,72,52,25,30,45,56,55,71,67,13,10,11,9,9
L. Hogan,Liam Hogan,62,250000,3000,DEFENDER,32,20,59,50,26,48,35,23,44,49,65,63,65,56,66,40,74,68,72,22,62,59,35,41,37,55,60,61,60,10,15,13,12,15
T. Mikkelsen,Thomas Mikkelsen,62,80000,1000,GOALKEEPER,11,14,12,43,20,20,15,16,47,25,41,47,32,55,40,49,58,27,71,12,22,25,14,56,30,41,12,17,11,62,63,65,65,55
A. Al Khaibari,Ali Nasser Al Khaibari,62,260000,5000,DEFENDER,29,25,62,43,31,27,64,66,26,52,55,56,56,56,57,57,85,69,79,62,66,59,23,35,37,60,57,60,59,8,7,13,12,10
